Tank_1-0-25%_to_25-50%,Tank_1-25-50%_to_0-25%,Tank_1-25-50%_to_50-75%,Tank_1-50-75%_to_25-50%,Tank_1-50-75%_to_75-100%,Tank_1-75-100%_to_50-75%,Tank_1-75-100%_to_OVERFLOW,Tank_1-OVERFLOW_to_75-100%,Tank_4-0-25%_to_25-50%,Tank_4-25-50%_to_0-25%,Tank_4-25-50%_to_50-75%,Tank_4-50-75%_to_25-50%,Tank_4-50-75%_to_75-100%,Tank_4-75-100%_to_50-75%,Tank_4-75-100%_to_OVERFLOW,Tank_4-OVERFLOW_to_75-100%,Tank_5-0-25%_to_25-50%,Tank_5-25-50%_to_0-25%,Tank_5-25-50%_to_50-75%,Tank_5-50-75%_to_25-50%,Tank_5-50-75%_to_75-100%,Tank_5-75-100%_to_50-75%,Tank_6-0-25%_to_25-50%,Tank_6-25-50%_to_0-25%,Tank_6-25-50%_to_50-75%,Tank_6-50-75%_to_25-50%,Tank_6-50-75%_to_75-100%,Tank_6-75-100%_to_50-75%,Tank_6-75-100%_to_OVERFLOW,Tank_6-OVERFLOW_to_75-100%,Tank_7-0-25%_to_25-50%,Tank_7-25-50%_to_0-25%,Tank_7-25-50%_to_50-75%,Tank_7-50-75%_to_25-50%,Tank_7-50-75%_to_75-100%,Tank_7-75-100%_to_50-75%,Tank_7-75-100%_to_OVERFLOW,Tank_7-OVERFLOW_to_75-100%,Tank_8-0-25%_to_25-50%,Tank_8-25-50%_to_0-25%,Tank_8-25-50%_to_50-75%,Tank_8-50-75%_to_25-50%,Tank_8-50-75%_to_75-100%,Tank_8-75-100%_to_50-75%,Tank_8-75-100%_to_OVERFLOW,Tank_8-OVERFLOW_to_75-100%,Tank_5-OVERFLOW_to_75-100%,Tank_5-75-100%_to_OVERFLOW,Fitness,Label
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9189189189189187,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9189189189189187,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9189189189189187,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0.7534246575342466,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,0.7195121951219512,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9189189189189187,A
0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0.6741573033707865,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0.8536585365853658,A
0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0.6818181818181819,A
