Time,Flow_sensor_1,Flow_sensor_2,Flow_sensor_3,Pump_2,Pump_4,Pump_5,Pump_6,Tank_1,Tank_4,Tank_5,Tank_6,Tank_7,Tank_8,Valv_20,Valv_22
18:29:43,0,0,0,True,False,False,False,60,0,0,0,0,141,False,True
18:29:44,0,0,0,True,False,False,False,124,0,0,0,0,136,False,True
18:29:45,0,0,0,True,False,False,False,163,0,0,0,0,130,False,True
18:29:46,0,0,0,True,False,False,False,205,0,0,0,0,130,False,True
18:29:47,0,0,0,True,False,False,False,245,0,0,0,0,120,False,True
18:29:48,0,0,0,True,False,False,False,284,0,0,0,0,120,False,True
18:29:49,0,0,0,True,False,False,False,327,0,0,0,0,115,False,True
18:29:50,0,0,0,True,False,False,False,352,0,0,0,0,111,False,True
18:29:51,0,0,0,True,False,False,False,383,0,0,0,0,106,False,True
18:29:52,0,0,0,True,False,False,False,405,0,0,0,0,101,False,True
18:29:53,0,0,0,True,False,False,False,435,0,0,0,0,97,False,True
18:29:54,0,0,0,True,False,False,False,463,0,0,0,0,93,False,True
18:29:55,0,0,0,True,False,False,False,503,0,0,0,0,88,False,True
18:29:56,0,0,0,True,False,False,False,529,0,0,0,0,88,False,True
18:29:57,0,0,0,True,False,False,False,558,0,0,0,0,84,False,True
18:29:58,0,0,0,True,False,False,False,592,0,0,0,0,76,False,True
18:29:59,0,0,0,True,False,False,False,624,0,0,0,0,76,False,True
18:30:00,0,0,0,True,False,False,False,641,0,0,0,0,72,False,True
18:30:01,0,0,0,True,False,False,False,670,0,0,0,0,68,False,True
18:30:02,0,0,0,True,False,False,False,697,0,0,0,0,65,False,True
18:30:03,0,0,0,True,False,False,False,746,0,0,0,0,61,False,True
18:30:04,0,0,0,True,False,False,False,779,0,0,0,0,61,False,True
18:30:05,0,0,0,True,False,False,False,796,0,0,0,0,54,False,True
18:30:06,0,0,0,True,False,False,False,821,0,0,0,0,54,False,True
18:30:07,0,0,0,True,False,False,False,850,0,0,0,0,51,False,True
18:30:08,0,0,0,True,False,False,False,885,0,0,0,0,48,False,True
18:30:09,0,0,0,True,False,False,False,892,0,0,0,0,45,False,True
18:30:10,0,0,0,True,False,False,False,940,0,0,0,0,42,False,True
18:30:11,0,0,0,True,False,False,False,968,0,1,0,0,39,False,True
18:30:12,0,0,0,True,False,False,False,986,0,0,0,0,36,False,True
18:30:13,0,0,0,True,False,False,False,1028,0,0,0,0,33,False,True
18:30:14,0,0,0,True,False,False,False,1036,0,0,0,0,33,False,True
18:30:15,0,0,0,True,False,False,False,1079,0,0,0,0,28,False,True
18:30:16,0,0,0,True,False,False,False,1114,0,0,0,0,28,False,True
18:30:17,0,0,0,True,False,False,False,1127,0,0,0,0,26,False,True
18:30:18,0,0,0,True,False,False,False,1158,0,0,0,0,23,False,True
18:30:19,0,0,0,True,False,False,False,1182,0,0,0,0,21,False,True
18:30:20,0,0,0,True,False,False,False,1212,0,1,0,0,19,False,True
18:30:21,0,0,0,True,False,False,False,1248,0,0,0,0,17,False,True
18:30:22,0,0,0,True,False,False,False,1277,0,0,0,0,17,False,True
18:30:23,0,0,0,True,False,False,False,1295,0,0,0,0,15,False,True
18:30:24,0,0,0,True,False,False,False,1330,0,0,0,0,12,False,True
18:30:25,0,0,0,True,False,False,False,1355,0,0,0,0,12,False,True
18:30:26,0,0,0,True,False,False,False,1386,0,0,0,0,10,False,True
18:30:27,0,0,0,True,False,False,False,1418,0,0,0,0,9,False,True
